isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
2860,BLUE EARTH AREA PUBLIC SCHOOL,Faribault County,1080,46,4.3,FOUND_MED_POLICY_ONLY,Rural,0
768,HANCOCK PUBLIC SCHOOL DISTRICT,Stevens County,424,18,4.2,FOUND_SEIZURE_SPECIFIC,Rural,1
813,LAKE CITY PUBLIC SCHOOL DISTRICT,Wabasha County,1202,51,4.2,FOUND_MED_POLICY_ONLY,Town,0
194,LAKEVILLE PUBLIC SCHOOL DISTRICT,Dakota County,11512,484,4.2,FOUND_SEIZURE_SPECIFIC,Suburb,1
775,KERKHOVEN-MURDOCK-SUNBURG,Swift County,781,32,4.1,FOUND_SEIZURE_SPECIFIC,Rural,1
861,WINONA AREA PUBLIC SCHOOL DISTRICT,Winona County,2556,106,4.1,FOUND_MED_POLICY_ONLY,Town,0
2364,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,Stearns County,629,25,4.0,FOUND_SEIZURE_SPECIFIC,Rural,1
284,WAYZATA PUBLIC SCHOOL DISTRICT,Hennepin County,12018,480,4.0,FOUND_SEIZURE_SPECIFIC,City,1
803,WHEATON AREA PUBLIC SCHOOL DISTRICT,Traverse County,379,15,4.0,FOUND_MED_POLICY_ONLY,Rural,0
2904,TRACY AREA PUBLIC SCHOOL DISTRICT,Lyon County,672,26,3.9,FOUND_MED_POLICY_ONLY,Rural,0
882,MONTICELLO PUBLIC SCHOOL DISTRICT,Wright County,4166,161,3.9,FOUND_MED_POLICY_ONLY,Town,0
2125,TRITON SCHOOL DISTRICT,Dodge County,986,37,3.8,FOUND_MED_POLICY_ONLY,Rural,0
2134,United South Central Schools,Faribault County,756,28,3.7,FOUND_MED_POLICY_ONLY,Rural,0
2190,YELLOW MEDICINE EAST,Yellow Medicine County,647,24,3.7,FOUND_SEIZURE_SPECIFIC,Rural,1
12,CENTENNIAL PUBLIC SCHOOL DISTRICT,Anoka County,6702,247,3.7,FOUND_SEIZURE_SPECIFIC,Suburb,1
852,Campbell-Tintah Public Schools,Wilkin County,142,5,3.5,FOUND_MED_POLICY_ONLY,Rural,0
378,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,Lac qui Parle County,557,19,3.4,FOUND_SEIZURE_SPECIFIC,Rural,1
834,Stillwater Area Public Schools,Washington County,8203,278,3.4,FOUND_SEIZURE_SPECIFIC,Town,1
486,SWANVILLE PUBLIC SCHOOL DISTRICT,Morrison County,350,12,3.4,NOT_FOUND,Rural,0
787,BROWERVILLE PUBLIC SCHOOL DISTRICT,Todd County,540,18,3.3,NOT_FOUND,Rural,0
831,FOREST LAKE PUBLIC SCHOOL DISTRICT,Washington County,5958,195,3.3,FOUND_SEIZURE_SPECIFIC,Town,1
465,LITCHFIELD PUBLIC SCHOOL DISTRICT,Meeker County,1527,50,3.3,NOT_VERIFIABLE,Town,0
719,PRIOR LAKE-SAVAGE AREA SCHOOLS,Scott County,8915,281,3.2,FOUND_SEIZURE_SPECIFIC,Suburb,1
777,BENSON PUBLIC SCHOOL DISTRICT,Swift County,819,25,3.1,FOUND_MED_POLICY_ONLY,Rural,0
763,MEDFORD PUBLIC SCHOOL DISTRICT,Steele County,900,28,3.1,FOUND_SEIZURE_SPECIFIC,Rural,1
728,Elk River School District,Sherburne County,13847,412,3.0,FOUND_MED_POLICY_ONLY,Suburb,0
2172,KENYON-WANAMINGO SCHOOL DISTRICT,Goodhue County,659,20,3.0,FOUND_MED_POLICY_ONLY,Rural,0
829,WASECA PUBLIC SCHOOL DISTRICT,Waseca County,1783,54,3.0,FOUND_MED_POLICY_ONLY,Town,0
138,North Branch Area Public Schools,Chisago County,2573,75,2.9,FOUND_MED_POLICY_ONLY,Rural,0
727,BIG LAKE PUBLIC SCHOOL DISTRICT,Sherburne County,3112,86,2.8,FOUND_SEIZURE_SPECIFIC,Town,1
309,PARK RAPIDS PUBLIC SCHOOL DISTRICT,Hubbard County,1744,48,2.8,FOUND_SEIZURE_SPECIFIC,Rural,1
15,St. Francis Area Schools,Anoka County,4301,122,2.8,FOUND_SEIZURE_SPECIFIC,Town,1
108,CENTRAL PUBLIC SCHOOL DISTRICT,Carver County,928,25,2.7,FOUND_MED_POLICY_ONLY,Rural,0
2167,LAKEVIEW SCHOOL DISTRICT,Lyon County,647,17,2.6,FOUND_SEIZURE_SPECIFIC,Rural,1
857,Lewiston-Altura Public School Dist,Winona County,692,17,2.5,FOUND_MED_POLICY_ONLY,Rural,0
500,SOUTHLAND PUBLIC SCHOOL DISTRICT,Mower County,410,10,2.4,FOUND_MED_POLICY_ONLY,Rural,0
846,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,Wilkin County,638,15,2.4,FOUND_MED_POLICY_ONLY,Town,0
911,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,Isanti County,5068,116,2.3,FOUND_SEIZURE_SPECIFIC,Town,1
