npi,name,city,state,zip5,lat,lon
1942768403,HY-VEE INC,PLAINVIEW,MN,55964,44.16445,-92.15669
1003852518,HY-VEE INC,DAVENPORT,IA,52806,41.58968,-90.6259
1679502231,HY-VEE INC,ROCHESTER,MN,55902,43.96721,-92.51596
1023047479,HY-VEE INC,WEST DES MOINES,IA,50265,41.55553,-93.73736
1093741357,HY-VEE INC,WATERLOO,IA,50702,42.45745,-92.31237
1538198973,HY-VEE INC,MASON CITY,IA,50401,43.15371,-93.20016
1558398453,HY-VEE INC,CARROLL,IA,51401,42.06615,-94.86957
1326078510,HY-VEE INC,BROOKINGS,SD,57006,44.31526,-96.79634
1932135456,HY-VEE INC,PELLA,IA,50219,41.42365,-92.89833
1972068039,HY-VEE INC,MOUNT AYR,IA,50854,40.69107,-94.21526
1326075011,HY-VEE INC,FORT DODGE,IA,50501,42.49286,-94.19259
1356782668,HY-VEE INC,WAUKEE,IA,50263,41.59562,-93.87241
1396619839,HY-VEE INC,WAUSAU,WI,54401,44.96559,-89.70676
1174553713,HY-VEE INC,WINDSOR HEIGHTS,IA,50311,41.60102,-93.67284
1336175975,HY-VEE INC,COUNCIL BLUFFS,IA,51503,41.23203,-95.77811
1811928690,HY-VEE INC,AMES,IA,50010,42.0336,-93.58826
1134161680,HY-VEE INC,ROCHESTER,MN,55901,44.06977,-92.50688
1366758559,HY-VEE INC,SIOUX FALLS,SD,57108,43.47752,-96.70406
1891725313,HY-VEE INC,CEDAR RAPIDS,IA,52402,42.02277,-91.65978
1952866014,HY-VEE INC,TOLEDO,IA,52342,42.05139,-92.55782
1851856918,HY-VEE INC,SAINT PETER,MN,56082,44.35226,-94.03246
1538821103,HY-VEE INC,WINFIELD,IA,52659,41.12941,-91.44114
1992215529,HY-VEE INC,VICTOR,IA,52347,41.71253,-92.28449
1295094365,HY-VEE INC,OSCEOLA,IA,50213,41.03205,-93.76611
1245266758,HY-VEE INC,DUBUQUE,IA,52003,42.43441,-90.67522
1366472581,HY-VEE INC,YANKTON,SD,57078,42.91596,-97.44362
1356370019,HY-VEE INC,AUSTIN,MN,55912,43.68155,-92.99022
1679282016,HY-VEE INC,GARNER,IA,50438,43.10935,-93.61746
1871523092,HY-VEE INC,VERMILLION,SD,57069,42.83957,-96.97314
1275561110,HY-VEE INC,ANKENY,IA,50023,41.73146,-93.63099
1205010519,HY-VEE INC,STORM LAKE,IA,50588,42.65776,-95.16434
1942239454,HY-VEE INC,COUNCIL BLUFFS,IA,51501,41.22798,-95.87858
1023053543,HY-VEE INC,DES MOINES,IA,50311,41.60102,-93.67284
1487683140,HY-VEE INC,ALBERT LEA,MN,56007,43.66036,-93.32527
1669405486,HY-VEE INC,MANKATO,MN,56001,44.13203,-93.97704
1285144725,HY-VEE INC,WEST LIBERTY,IA,52776,41.57747,-91.27006
1295777639,HY-VEE INC,COLUMBUS JUNCTION,IA,52738,41.27158,-91.37902
1568920031,HY-VEE INC,ZUMBROTA,MN,55992,44.30605,-92.68211
1790727311,HY-VEE INC,ANKENY,IA,50023,41.73146,-93.63099
1568407229,HY-VEE INC,DES MOINES,IA,50317,41.6163,-93.54711
1114957313,HY-VEE INC,SIOUX FALLS,SD,57110,43.54322,-96.63772
1720020142,HY-VEE INC,SIOUX FALLS,SD,57106,43.51054,-96.83901
1700154952,HY-VEE INC,SHELDON,IA,51201,43.18336,-95.86572
