rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
109,239,Rushford-Peterson Public Schools,Fillmore County,Rural,NOT_FOUND,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",588,81,18,3.06,not_suppressed_in_source
110,690,Warroad,Roseau County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1009,219,18,1.78,not_suppressed_in_source
111,177,Windom Public School District,Cottonwood County,Rural,NOT_FOUND,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1205,297,18,1.49,not_suppressed_in_source
112,314,Braham Public School District,Isanti County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",954,185,17,1.78,not_suppressed_in_source
113,414,Minneota Public School District,Lyon County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",451,95,17,3.77,not_suppressed_in_source
114,2168,Nrheg School District,Waseca County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",743,122,17,2.29,not_suppressed_in_source
115,146,Barnesville Public School Dist.,Clay County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",866,123,16,1.85,not_suppressed_in_source
116,2534,Bird Island-Olivia-Lake Lillian,Renville County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",737,138,16,2.17,not_suppressed_in_source
117,93,Carlton Public School District,Carlton County,Town,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",591,141,16,2.71,not_suppressed_in_source
118,2198,Fillmore Central,Fillmore County,Rural,NOT_FOUND,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",617,125,16,2.59,not_suppressed_in_source
119,2683,Greenbush Middle River Schools,Roseau County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",359,80,16,4.46,not_suppressed_in_source
120,150,Hawley Public School District,Clay County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",989,161,16,1.62,not_suppressed_in_source
121,2172,Kenyon-Wanamingo School District,Goodhue County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",745,162,16,2.15,not_suppressed_in_source
122,424,Lester Prairie Public Schools,McLeod County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",500,101,16,3.2,not_suppressed_in_source
123,294,Houston Public School District,Houston County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",427,101,15,3.51,not_suppressed_in_source
124,2137,Kingsland,Fillmore County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",666,137,15,2.25,not_suppressed_in_source
125,2448,Martin County West School District,Martin County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",645,132,15,2.33,not_suppressed_in_source
126,115,Cass Lake-Bena Public Schools,Cass County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1076,313,14,1.3,not_suppressed_in_source
127,2752,Fairmont Area School District,Martin County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1974,319,14,0.71,not_suppressed_in_source
128,4,Mcgregor Public School District,Aitkin County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",497,135,14,2.82,not_suppressed_in_source
129,97,Moose Lake Public School District,Carlton County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",583,136,14,2.4,not_suppressed_in_source
